"5","http://m.rozetka.com.ua/offer/12408202/ норм с етим будет совместим?"
"5","Брал брату, у меня такой-же, работает 4-года без замечаний."
"3","Для тех, кто планирует брать данный монитор по большей части для игр, особенно высокого качества, прошу заметить что он комплектуется ТОЛЬКО с VGA кабелем, что очень странно, так как родное разрешение 1920х1080, что является 1080р и при использовании VGA вы столкнетесь с проблемами, которых нет при DVI/HDMI, тем более что почти все ( если не все ) современные видеокарты DVI. Пришлось докупать кабель отдельно."
"5","Напишу честно первые впечатления, из плюсов это красивые и насыщенные цвета, хорошая яркость, все четко и красиво сразу после подключения, не пришлось ничего настраивать, битых пикселей не заметил, хорошее матовое покрытие, кнопка включения светится только когда монитор непосредственно включен, углы обзора приемлемые и вроде как отвечают заявленным в параметрах, почернения цветов заметны если смотреть на монитор сверху, еще немного смутила гнущаяся верхняя рамка экрана, она наверное не должна так сильно отставать от экрана но на работоспособность это никак не влияет,"
"5","Доставка быстрая, нареканий нет."
"5","Очень хороший монитор, яркие насыщенные цвета и хороший угол обзора. В комплекте кабель VGA, пришлось докупить DVI. Спасибо за быструю доставку!"
"5","Случилась беда - неожиданно сгорел мой ЖК монитор отслужив мне 7 лет и срочно нужно было выбирать для покупки новый. В бюджете на это я был ограничен, но хотелось получить и FullHD разрешение, и DVI порт для подключения к компьютеру, и достаточно качественный и хороший монитор, естественно. В итоге мой выбор пал на данную модель. И, как мне кажется, не прогадал. Монитором доволен на все 100, для моих нужд (графика и видеомонтаж) вполне устраивает. Просмотр фильмов и сериалов так же прекрасен. Если вы в поисках хорошего монитора при невысокой стоимости - очень даже неплохой вариант :)"
"5","Читала много отзывов и решила заказать. Прекрасный дизайн, монитор устойчив, цвета яркие, картинка четкая. Все супер!"
"5","Прекрасный монитор за свою цену, яркий, насыщенный цвет. Очень тонкий, на стену самое то повесить."
"5","Отличный монитор! брал для работы, но на фильмах и играх он тоже был проверен) За эти деньги лучше не найти!"
"5","В целом монитором доволен."
"5","Блин такие деньги за реально суперский монитор не жалко,доволен покупкой очень,да и на счет подставки монитора норм же все тут,хорошо стоит на подставке,а шатаються то все мониторы при удар об стол,тут чтоб он упал наверное с ноги надо стол бить как шарц )) он сам по себе атомный слегка придает веса опоре не страшно,в любом случае я рад за покупку,спасибо розетке!"
