"5","Отличный монитор по соотношению цена\качество, стильный, тонкий, почти незаметные рамки вокруг экрана очень порадовали. Комплектация хорошая, доставили быстро и в отличном состоянии. Единственный минус отсутствие дополнительных кабелей в виде HDMI\DVI-D. #мояраспаковка"
"5","Монитор за свои деньги просто отличный ,порадовало время отклика"
"5","Как лучше подключить через VGA или DVI-D?"
"5","Долго выбирал монитор в данном ценовом сегменте, в результате остановился на этом. Покупкой доволен :) Отличное качество изображения, цветопередача, углы обзора, вообщем все достоинства ips - матрицы. Стильный тонкий корпус, устойчивый, удобное меню настроек. В играх вроде все тоже хорошо, отклик - 4 мс (gtg). Порадовал дизайн ZeroFrame и наличие hdmi выхода. К сожалению, в комплекте был только vga - кабель, пришлось вместе с монитором купить еще и hdmi кабель."
"5","Монитор бомба, то, что тонкий не бойтесь, крепкий. Собран качественно."
"5","В комплекті є VGA кабель, враховуючи нові відеокарти - варто бути готовим до покупки HDMI кабеля. Тонкі стінки монітору - виглядає майже як Cinema type. Легка навігація в меню та стильний дизайн корпусу. #мояраспаковка"
"4","Достойный монитор за свою цену. Брал из-за наличия HDMI и тонкого корпуса. И он реально тонкий, при этом устойчивый. Углы обзора отличные, есть регулировка наклона. Одно ""но"" - информация на розетке, на сайте производителя и в реальности отличается. Дело в аудио составляющей: тут указано колонок нет и на картинке явно видно 3.5мм выход у производителя - указаны колонки, но нет 3.5мм выхода а на деле - 3.5 нет, и колонок нет, хотя есть под них ""место"" - две решетки внизу и отключенный пункт меню ""звук "" в настройках монитора."
"5","Гарний дизайн, тонкий, майже безрамочний, гарні якісні і насищені кольора, всі необхідні ро""єми аналог, цифра та ""ашдіімай"". За ці грощі - ідеальний варіант."
"5","Монитор просто бомба"
"5","Монітор просто бомба, відповідає всім моїм вимогам)) Технологія Flicker-Less працює на 100%."
"5","Порадовали рамки по краям, маленькие. Углы наклона очень большие. И какой то он страшно тонкий, не знаю это плюс или минус. Брал из за HDMI разъема"
"5","Отличный выбор цена качество."
