"5","Отличный монитор за свои деньги"
"5","За свои деньги очень даже хороший монитор"
"4","Добрый день, а матрица просто TN или все таки TN+film, потому что с других источниках она TN+film."
"5","Каков комплект поставки?"
"5","Нормальный моник за свои деньги. Глаза не устают.Для игр что надо!"
"5","Получил , принес домой , подключил пользуюсь . Ничего ненастраивал , все как-то подошло как было настроенопо умолчанию ."
"5","еще и сам подстраивается))"
"5","Очень яркий монитор."
"5","чи можна підключити його до Xbox 360 ?"
"5","За эти деньги лучший выбор."
